Year,State,CO2(Metric Tons)
1990,Alabama,10083059.61904762
1990,Alaska,765238.0
1990,Arizona,6622242.6
1990,Arkansas,4462057.523809524
1990,California,5692501.945945946
1990,Colorado,5730379.090909091
1990,Connecticut,2104916.1739130435
1990,Delaware,2538536.8571428573
1990,District of Columbia,409724.0
1990,Florida,12628308.551724138
1990,Georgia,10856430.88
1990,Hawaii,2015876.25
1990,Idaho,150474.76923076922
1990,Illinois,10126935.833333334
1990,Indiana,18872113.14285714
1990,Iowa,4792656.8
1990,Kansas,10006198.545454545
1990,Kentucky,33345578.0
1990,Louisiana,7823115.652173913
1990,Maine,905159.304347826
1990,Maryland,4207640.769230769
1990,Massachusetts,3708790.933333333
1990,Michigan,9258721.032258065
1990,Minnesota,4728456.148148148
1990,Mississippi,4221869.714285715
1990,Missouri,12176256.75
1990,Montana,4301077.6
1990,Nebraska,4930030.181818182
1990,Nevada,6070978.181818182
1990,New Hampshire,1070894.5263157894
1990,New Jersey,1948116.0
1990,New Mexico,5976511.578947368
1990,New York,8914613.548387097
1990,North Carolina,8521717.739130436
1990,North Dakota,8139501.142857143
1990,Ohio,17697174.56
1990,Oklahoma,6680373.454545454
1990,Oregon,411031.0
1990,PR,0.0
1990,Pennsylvania,13272339.515151516
1990,Rhode Island,159616.53333333333
1990,South Carolina,4981853.052631579
1990,South Dakota,1380211.5
1990,Tennessee,11848916.444444444
1990,Texas,27491118.451612905
1990,Utah,6876691.294117647
1990,Vermont,16347.6
1990,Virginia,4430270.153846154
1990,Washington,1708715.2
1990,West Virginia,19244420.266666666
1990,Wisconsin,5177937.793103448
1990,Wyoming,10323040.25
1991,Alabama,11408241.2
1991,Alaska,814188.2
1991,Arizona,7030436.2105263155
1991,Arkansas,4513970.666666667
1991,California,5413865.837837838
1991,Colorado,5357679.304347826
1991,Connecticut,1742192.5925925926
1991,Delaware,2337166.0
1991,District of Columbia,232876.0
1991,Florida,13519791.72413793
1991,Georgia,12274665.8
1991,Hawaii,1968021.142857143
1991,Idaho,134810.15384615384
1991,Illinois,9520006.461538462
1991,Indiana,18775649.333333332
1991,Iowa,4440095.714285715
1991,Kansas,10055864.363636363
1991,Kentucky,33900249.0
1991,Louisiana,8179339.090909091
1991,Maine,778546.7826086957
1991,Maryland,4906314.909090909
1991,Massachusetts,3699833.419354839
1991,Michigan,9002987.625
1991,Minnesota,5108560.0
1991,Mississippi,3861642.0
1991,Missouri,12236314.0
1991,Montana,4375978.5
1991,Nebraska,5779721.6
1991,Nevada,4475767.5
1991,New Hampshire,1160940.0
1991,New Jersey,2115136.888888889
1991,New Mexico,5127471.7894736845
1991,New York,8376383.741935484
1991,North Carolina,7939862.24
1991,North Dakota,9660463.333333334
1991,Ohio,18859087.166666668
1991,Oklahoma,8364528.0
1991,Oregon,770359.4
1991,Pennsylvania,13602109.625
1991,Rhode Island,303447.7894736842
1991,South Carolina,5065049.263157895
1991,South Dakota,1499881.0
1991,Tennessee,11183789.777777778
1991,Texas,28315331.066666666
1991,Utah,6533178.117647059
1991,Vermont,25492.4
1991,Virginia,5131777.666666667
1991,Washington,1461231.1666666667
1991,West Virginia,11679131.130434783
1991,Wisconsin,6788564.521739131
1991,Wyoming,10065278.0
1992,Alabama,12089017.8
1992,Alaska,751402.0952380953
1992,Arizona,7169638.6
